song_id,artist - title,artist,title
14,Crowded House - Don't Dream It's Over,Crowded House,Don't Dream It's Over
34,Paul McCartney - Live And Let Die,Paul McCartney,Live And Let Die
68,Noah And The Whale - 5 Years Time,Noah And The Whale,5 Years Time
70,Pearl Jam - Alive,Pearl Jam,Alive
71,Tom Petty And The Heartbreakers - American Girl,Tom Petty And The Heartbreakers,American Girl
72,Bruce Springsteen - Atlantic City,Bruce Springsteen,Atlantic City
74,Pearl Jam - Black,Pearl Jam,Black
75,Bruce Springsteen - Born to Run,Bruce Springsteen,Born to Run
78,Bruce Springsteen - Death To My Hometown,Bruce Springsteen,Death To My Hometown
79,Pearl Jam - Even Flow,Pearl Jam,Even Flow
82,Tom Petty - Free Fallin',Tom Petty,Free Fallin'
83,Biffy Clyro - God & Satan,Biffy Clyro,God & Satan
84,Elbow - Grounds For Divorce,Elbow,Grounds For Divorce
95,Madness - Our House,Madness,Our House
119,C418 - Cat,C418,Cat
153,Phaeleh ft. Soundmouse - Afterglow,Phaeleh ft. Soundmouse,Afterglow
164,The Glitch Mob - Between Two Points (feat. Swan),The Glitch Mob,Between Two Points (feat. Swan)
167,Bonobo - Black Sands,Bonobo,Black Sands
183,Zero 7 - Destiny,Zero 7,Destiny
186,The Glitch Mob - Drive It Like You Stole It,The Glitch Mob,Drive It Like You Stole It
192,Bonobo - Eyesdown,Bonobo,Eyesdown
203,London Grammar - Hey Now - J'adore Dior Remix by The Shoes,London Grammar,Hey Now - J'adore Dior Remix by The Shoes
208,Zero 7 - I Have Seen,Zero 7,I Have Seen
228,Ryuichi Sakamoto - Merry Christmas Mr. Lawrence,Ryuichi Sakamoto,Merry Christmas Mr. Lawrence
232,Zero 7 - Mr McGee,Zero 7,Mr McGee
294,Ludwig van Beethoven - Für Elise,Ludwig van Beethoven,Für Elise
316,Daft Punk - Adagio For Tron,Daft Punk,Adagio For Tron
317,Daft Punk - Adagio For Tron (Remixed By Teddybears),Daft Punk,Adagio For Tron (Remixed By Teddybears)
318,Daft Punk - Aerodynamic,Daft Punk,Aerodynamic
321,Daft Punk - Arena,Daft Punk,Arena
322,Daft Punk - Arena (Remixed By The Japanese Popstars),Daft Punk,Arena (Remixed By The Japanese Popstars)
323,Daft Punk - Armory,Daft Punk,Armory
324,Daft Punk - Around The World,Daft Punk,Around The World
326,Daft Punk - Arrival,Daft Punk,Arrival
330,Daft Punk - C.L.U. (Remixed By Paul Oakenfold),Daft Punk,C.L.U. (Remixed By Paul Oakenfold)
331,Daft Punk - Crescendolls,Daft Punk,Crescendolls
336,Daft Punk - Derezzed,Daft Punk,Derezzed
338,Daft Punk - Derezzed (Remixed By The Glitch Mob),Daft Punk,Derezzed (Remixed By The Glitch Mob)
339,Daft Punk - Digital Love,Daft Punk,Digital Love
341,Daft Punk - Emotion,Daft Punk,Emotion
